[1.6099771251103774, 0.23873981833457947]
epoch=121, time=0.866414 s[0.912519328970117, 0.04180029779672623]
epoch=122, time=0.839961 s[1.089260158487118, 0.035815952345728874]
epoch=123, time=0.834981 s[1.0201933390534426, 0.03681768849492073]
epoch=124, time=0.825059 s[1.0947454134978272, 0.038131240755319595]
epoch=125, time=0.839542 s[1.070503108647024, 0.038767142221331596]
epoch=126, time=0.907372 s[0.9562728302786204, 0.03916069492697716]
epoch=127, time=0.854132 s[0.9261539896028949, 0.041909802705049515]
epoch=128, time=0.830651 s[0.9158322376250527, 0.04103926010429859]
epoch=129, time=0.825896 s[0.8965972841557327, 0.04601075500249863]
epoch=130, time=1.075229 s[0.8194312730947616, 0.04619474895298481]
epoch=131, time=0.755207 s[0.9510273084712294, 0.041954342275857925]
epoch=132, time=0.831132 s[1.5138699834663134, 0.03830390237271786]
epoch=133, time=0.832901 s[1.0407598798959419, 0.03621845506131649]
epoch=134, time=0.825665 s[0.9411356906326661, 0.036505818367004395]
epoch=135, time=0.846746 s[0.9276632830032676, 0.0403376966714859]
epoch=136, time=0.841327 s[0.8849524167984661, 0.041462212800979614]
epoch=137, time=0.826536 s[0.9379006798672855, 0.04311654902994633]
epoch=138, time=0.828577 s[0.844406217168223, 0.04236242547631264]
epoch=139, time=0.832831 s[0.9078689866728127, 0.044559773057699203]
epoch=140, time=1.021159 s[0.8971024304064501, 0.04308359883725643]
epoch=141, time=0.754642 s[0.8920435323556546, 0.04254204034805298]
epoch=142, time=0.834077 s[1.0876061344481749, 0.04106704704463482]
epoch=143, time=0.833074 s[0.9619183038839643, 0.04182286188006401]
epoch=144, time=0.826847 s[0.9191688520526753, 0.045308953151106834]
epoch=145, time=0.863015 s[0.8568840721139925, 0.046876462176442146]
epoch=146, time=0.831967 s[0.8327697943173871, 0.04592457413673401]
epoch=147, time=0.827926 s[0.8758496641872351, 0.043351760134100914]
epoch=148, time=0.827491 s[0.8422135431869073, 0.04458990693092346]
epoch=149, time=0.830943 s[0.854485014506775, 0.04746747948229313]
epoch=150, time=1.009390 s[0.9788754234745015, 0.04320229962468147]
epoch=151, time=0.748938 s[0.8774464474917895, 0.04559696279466152]
epoch=152, time=0.826233 s[0.8210525939922504, 0.04625243507325649]
epoch=153, time=0.833007 s[0.761932426385979, 0.04616432264447212]
epoch=154, time=0.832020 s[0.9026373768988274, 0.04579969123005867]
epoch=155, time=0.838756 s[0.8048998474995612, 0.04506782256066799]
epoch=156, time=0.855261 s[0.7762413237286478, 0.04961661621928215]
epoch=157, time=0.830572 s[0.8049681912345112, 0.04833546280860901]
epoch=158, time=0.831464 s[0.8099248653525185, 0.048597512766718864]
epoch=159, time=0.855359 s[0.9214966926595112, 0.04604959674179554]
epoch=160, time=1.200628 s[1.4367832276650707, 0.04055909626185894]
epoch=161, time=0.786301 s[1.0327403733261824, 0.03752053715288639]
epoch=162, time=0.832382 s[0.956064318825522, 0.0357699915766716]
epoch=163, time=0.830043 s[0.9886454471629508, 0.04126368835568428]
epoch=164, time=0.889500 s[0.9133532372562511, 0.040373191237449646]
epoch=165, time=0.909502 s[0.8544159732919866, 0.04265179857611656]
epoch=166, time=0.832028 s[0.8625170298901232, 0.04059186205267906]
epoch=167, time=0.884518 s[0.8292764794550763, 0.04386172816157341]
epoch=168, time=0.836877 s[0.8126783360457045, 0.041035305708646774]
